measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Neoplasms,Number,1980,4818276.374002046,5164217.266488632,4564683.910931392
Deaths,Global,Both,All ages,Neoplasms,Percent,1980,0.10478845893225582,0.11241930950383056,0.09913209453408761
Deaths,Global,Both,All ages,Neoplasms,Rate,1980,107.80946615999841,115.54993184667599,102.13530678355352
Deaths,Global,Both,All ages,Musculoskeletal disorders,Number,1980,49797.05433584,60424.687278383935,40793.63520855811
Deaths,Global,Both,All ages,Musculoskeletal disorders,Percent,1980,0.001082962527424352,0.0013087085062853335,0.0008861994041420364
Deaths,Global,Both,All ages,Musculoskeletal disorders,Rate,1980,1.1142145920177269,1.3520090531786193,0.9127620944058564
Deaths,Global,Both,All ages,Other non-communicable diseases,Number,1980,1061863.4481576963,1232940.4064540192,895661.206586194
Deaths,Global,Both,All ages,Other non-communicable diseases,Percent,1980,0.023093692525120425,0.026743329382605596,0.01954770442598655
Deaths,Global,Both,All ages,Other non-communicable diseases,Rate,1980,23.759311960266505,27.587177801611677,20.040518444166064
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,1980,100020.1829918611,172915.87157703788,53753.44236835311
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Percent,1980,0.0021752633833281377,0.0037838506991696563,0.001175246601794305
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,1980,2.2379626440194142,3.8690117291522914,1.202739211321116
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Number,1980,5148955.556772956,5864540.119096303,4488835.552947891
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Percent,1980,0.11198260317505453,0.12750379756400582,0.09782258328279277
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Rate,1980,115.20844940577364,131.21973304086714,100.43819139444155
Deaths,Global,Both,All ages,Enteric infections,Number,1980,4498634.66175477,5382115.037925852,3849462.520784731
Deaths,Global,Both,All ages,Enteric infections,Percent,1980,0.0978396628190905,0.11680720160995511,0.08398315803398668
Deaths,Global,Both,All ages,Enteric infections,Rate,1980,100.65744753653705,120.42541855450634,86.13214916603438
Deaths,Global,Both,All ages,Other infectious diseases,Number,1980,3521374.0654534376,4407609.297781452,2704385.1283450946
Deaths,Global,Both,All ages,Other infectious diseases,Percent,1980,0.07658571934136607,0.09584068134973835,0.05862962048352675
Deaths,Global,Both,All ages,Other infectious diseases,Rate,1980,78.79113373292712,98.62074496174631,60.51091600952643
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Number,1980,3836715.340700439,4128532.950972047,3594850.533986585
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Percent,1980,0.08344317932194097,0.08961154984242102,0.07804250490603033
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Rate,1980,85.84692960342312,92.37638087135392,80.4351778335566
Deaths,Global,Both,All ages,Substance use disorders,Number,1980,152823.63353742423,172336.45743137706,136604.9222847495
Deaths,Global,Both,All ages,Substance use disorders,Percent,1980,0.0033236236654380137,0.003741446950569299,0.002971684778513822
Deaths,Global,Both,All ages,Substance use disorders,Rate,1980,3.419445683356715,3.8560472736332403,3.056550227340831
Deaths,Global,Both,All ages,Diabetes and kidney diseases,Number,1980,1050152.9617933428,1185902.250153374,919229.6800468334
Deaths,Global,Both,All ages,Diabetes and kidney diseases,Percent,1980,0.02283930745826607,0.025635463470677414,0.01994719941763208
Deaths,Global,Both,All ages,Diabetes and kidney diseases,Rate,1980,23.49728853416605,26.53469385791646,20.567865641538877
Deaths,Global,Both,All ages,Neoplasms,Number,1983,5066566.498924964,5385435.16323589,4808079.313565701
Deaths,Global,Both,All ages,Neoplasms,Percent,1983,0.10909271694495043,0.11604041294388986,0.10360335748588725
Deaths,Global,Both,All ages,Neoplasms,Rate,1983,107.33868332743856,114.09413449713641,101.86245516792161
Deaths,Global,Both,All ages,Musculoskeletal disorders,Number,1983,52275.47340752912,62697.17115847117,42881.41012821074
Deaths,Global,Both,All ages,Musculoskeletal disorders,Percent,1983,0.0011256086601530335,0.0013532259571219262,0.0009190622032602769
Deaths,Global,Both,All ages,Musculoskeletal disorders,Rate,1983,1.1074917277950072,1.3282825364935626,0.9084720596014431
Deaths,Global,Both,All ages,Other non-communicable diseases,Number,1983,1075283.6489906958,1284214.9344709471,934405.532648176
Deaths,Global,Both,All ages,Other non-communicable diseases,Percent,1983,0.023153211773469115,0.02769971840040851,0.020036734309733937
Deaths,Global,Both,All ages,Other non-communicable diseases,Rate,1983,22.780620980830896,27.206973441440656,19.796021544296455
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,1983,119198.81743364083,195120.51181194017,71785.95372087296
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Percent,1983,0.0025663730011838072,0.004204113238570935,0.0015450668119913735
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,1983,2.525308632627157,4.133761756115025,1.5208346234946104
