Entity,Code,Year,Life expectancy - Sex: all - Age: 0 - Variant: estimates,"GDP per capita, PPP (constant 2021 international $)",Population (historical),World regions according to OWID,time,time,time,time
Afghanistan,AFG,2023,66.035,1983.8126,41454762,Asia,2023,2023,2023,2023
Albania,ALB,2023,79.602,17991.016,2811660,Europe,2023,2023,2023,2023
Algeria,DZA,2023,76.261,15159.324,46164222,Africa,2023,2023,2023,2023
Andorra,AND,2023,84.041,64631.297,80869,Europe,2023,2023,2023,2023
Angola,AGO,2023,64.617,7250.403,36749909,Africa,2023,2023,2023,2023
Antigua and Barbuda,ATG,2023,77.598,28474.045,93331,North America,2023,2023,2023,2023
Argentina,ARG,2023,77.395,27104.98,45538402,South America,2023,2023,2023,2023
Armenia,ARM,2023,75.683,19402.752,2943398,Asia,2023,2023,2023,2023
Aruba,ABW,2023,76.353,40516.81,107946,North America,2023,2023,2023,2023
Australia,AUS,2023,83.923,60461.156,26451126,Oceania,2023,2023,2023,2023
Austria,AUT,2023,81.956,64394.09,9130434,Europe,2023,2023,2023,2023
Azerbaijan,AZE,2023,74.429,21310.738,10318209,Asia,2023,2023,2023,2023
Bahamas,BHS,2023,74.552,35221.31,399452,North America,2023,2023,2023,2023
Bahrain,BHR,2023,81.284,57819.906,1569674,Asia,2023,2023,2023,2023
Bangladesh,BGD,2023,74.672,8242.398,171466986,Asia,2023,2023,2023,2023
Barbados,BRB,2023,76.178,19224.463,282347,North America,2023,2023,2023,2023
Belarus,BLR,2023,74.434,27782.438,9115679,Europe,2023,2023,2023,2023
Belgium,BEL,2023,82.115,62920.645,11712891,Europe,2023,2023,2023,2023
Belize,BLZ,2023,73.566,12455.296,411112,North America,2023,2023,2023,2023
Benin,BEN,2023,60.774,3721.2126,14111035,Africa,2023,2023,2023,2023
Bermuda,BMU,2023,82.309,103052.35,64721,North America,2023,2023,2023,2023
Bhutan,BTN,2023,72.975,14645.266,786386,Asia,2023,2023,2023,2023
Bolivia,BOL,2023,68.581,9843.97,12244161,South America,2023,2023,2023,2023
Bosnia and Herzegovina,BIH,2023,77.85,19803.846,3185072,Europe,2023,2023,2023,2023
Botswana,BWA,2023,69.163,18932.48,2480242,Africa,2023,2023,2023,2023
Brazil,BRA,2023,75.848,19079.812,211140731,South America,2023,2023,2023,2023
Brunei,BRN,2023,75.327,76616.7,458959,Asia,2023,2023,2023,2023
Bulgaria,BGR,2023,75.636,33139.938,6795805,Europe,2023,2023,2023,2023
Burkina Faso,BFA,2023,61.092,2482.0723,23025777,Africa,2023,2023,2023,2023
Burundi,BDI,2023,63.651,828.58295,13689455,Africa,2023,2023,2023,2023
Cambodia,KHM,2023,70.668,6695.292,17423884,Asia,2023,2023,2023,2023
Cameroon,CMR,2023,63.7,4870.571,28372690,Africa,2023,2023,2023,2023
Canada,CAN,2023,82.63,57517.44,39299098,North America,2023,2023,2023,2023
Cape Verde,CPV,2023,76.059,9280.9795,522335,Africa,2023,2023,2023,2023
Cayman Islands,CYM,2023,80.358,78109.35,73055,North America,2023,2023,2023,2023
Central African Republic,CAF,2023,57.408,1132.6764,5152415,Africa,2023,2023,2023,2023
Chad,TCD,2023,55.069,2641.4329,19319075,Africa,2023,2023,2023,2023
Chile,CHL,2023,81.167,29563.678,19658833,South America,2023,2023,2023,2023
China,CHN,2023,77.953,22687.076,1422584930,Asia,2023,2023,2023,2023
Colombia,COL,2023,77.725,18382.998,52321152,South America,2023,2023,2023,2023
Comoros,COM,2023,66.777,3516.4817,850390,Africa,2023,2023,2023,2023
Congo,COG,2023,65.772,6172.2876,6182890,Africa,2023,2023,2023,2023
Costa Rica,CRI,2023,80.799,25979.629,5105526,North America,2023,2023,2023,2023
Cote d'Ivoire,CIV,2023,61.944,6511.751,31165653,Africa,2023,2023,2023,2023
Croatia,HRV,2023,78.58,41135.086,3896023,Europe,2023,2023,2023,2023
Curacao,CUW,2023,76.8,27675.572,185437,North America,2023,2023,2023,2023
Cyprus,CYP,2023,81.648,52190.875,1344981,Europe,2023,2023,2023,2023
Czechia,CZE,2023,79.834,47509.523,10809722,Europe,2023,2023,2023,2023
Democratic Republic of Congo,COD,2023,61.895,1456.4824,105789733,Africa,2023,2023,2023,2023
Denmark,DNK,2023,81.933,71454.52,5948134,Europe,2023,2023,2023,2023
Djibouti,DJI,2023,65.987,6545.1035,1152951,Africa,2023,2023,2023,2023
Dominica,DMA,2023,71.132,18278.225,66531,North America,2023,2023,2023,2023
Dominican Republic,DOM,2023,73.72,23282.49,11331269,North America,2023,2023,2023,2023
East Timor,TLS,2023,67.689,4330.464,1384292,Asia,2023,2023,2023,2023
Ecuador,ECU,2023,77.392,14343.019,17980079,South America,2023,2023,2023,2023
Egypt,EGY,2023,71.633,16691.387,114535772,Africa,2023,2023,2023,2023
El Salvador,SLV,2023,72.099,11424.6455,6309629,North America,2023,2023,2023,2023
Equatorial Guinea,GNQ,2023,63.707,15688.238,1847556,Africa,2023,2023,2023,2023
Estonia,EST,2023,79.153,41706.52,1367195,Europe,2023,2023,2023,2023
Eswatini,SWZ,2023,64.123,10201.638,1230507,Africa,2023,2023,2023,2023
Ethiopia,ETH,2023,67.315,2757.9592,128691695,Africa,2023,2023,2023,2023
Faroe Islands,FRO,2023,80.179,70428.96,54738,Europe,2023,2023,2023,2023
Fiji,FJI,2023,67.316,13652.491,924150,Oceania,2023,2023,2023,2023
Finland,FIN,2023,81.91,56246.44,5601185,Europe,2023,2023,2023,2023
France,FRA,2023,83.325,54017.875,66438828,Europe,2023,2023,2023,2023
Gabon,GAB,2023,68.337,18702.691,2484790,Africa,2023,2023,2023,2023
Gambia,GMB,2023,65.86,2932.2805,2697846,Africa,2023,2023,2023,2023
Georgia,GEO,2023,74.496,22590.53,3807494,Asia,2023,2023,2023,2023
