IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",7,0,4,"0-4",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",6965830
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",71,5,9,"5-9",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",679545
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",76,10,14,"10-14",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",369833
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",67,15,19,"15-19",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",504072
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",75,20,24,"20-24",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",644864
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",57,25,29,"25-29",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",631121
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",62,30,34,"30-34",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",620280
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",63,35,39,"35-39",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",672813
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",64,40,44,"40-44",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",728974
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",69,45,49,"45-49",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",834970
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",66,50,54,"50-54",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1161513
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",68,55,59,"55-59",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1451980
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",60,60,64,"60-64",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1889932
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",72,65,69,"65-69",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2077822
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",73,70,74,"70-74",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2075248
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",58,75,79,"75-79",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2129530
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",61,80,84,"80-84",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1661232
64,"Deaths by 5-year age groups and sex","Deaths by age and sex - abridged","World Population Prospects",2024,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",1,"Male",65,85,89,"85-89",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",904899
