STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,HIC,High income,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,68.33647331,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Life expectancy at birth, total (years)",0,Units,WB_WDI,World Development Indicators (WDI),NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LIC,Low income,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,41.61865994,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Life expectancy at birth, total (years)",0,Units,WB_WDI,World Development Indicators (WDI),NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LMC,Lower middle income,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,45.83018808,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Life expectancy at birth, total (years)",0,Units,WB_WDI,World Development Indicators (WDI),NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,MIC,Middle income,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,43.57219907,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Life expectancy at birth, total (years)",0,Units,WB_WDI,World Development Indicators (WDI),NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,UMC,Upper middle income,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,41.96301249,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Life expectancy at birth, total (years)",0,Units,WB_WDI,World Development Indicators (WDI),NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,HIC,High income,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1961,68.70925981,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Life expectancy at birth, total (years)",0,Units,WB_WDI,World Development Indicators (WDI),NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LIC,Low income,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1961,41.92432258,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Life expectancy at birth, total (years)",0,Units,WB_WDI,World Development Indicators (WDI),NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LMC,Lower middle income,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1961,46.21546356,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Life expectancy at birth, total (years)",0,Units,WB_WDI,World Development Indicators (WDI),NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,MIC,Middle income,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1961,46.217093,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Life expectancy at birth, total (years)",0,Units,WB_WDI,World Development Indicators (WDI),NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,UMC,Upper middle income,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1961,46.21827734,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Life expectancy at birth, total (years)",0,Units,WB_WDI,World Development Indicators (WDI),NUMBER,Number (real number),P1Y,Annual,,A,Normal value,PU,Public
